	TFAs Ave.(E)	TFAs Ave.(NE)	TTS	p_val	FDR_A375	negLog10_FDR	TFAs Ave.(E)	TFAs Ave.(NE)	TTS	p_val	FDR_HT29	negLog10_FDR
HLF	-0.018	0.077	-2.966	3.302e-03	7.316e-03	2.136	0.027	-0.009	1.031	3.045e-01	3.818e-01	0.418
HLTF	0.568	0.199	3.851	1.432e-04	4.490e-04	3.348	0.616	0.132	3.907	1.555e-04	5.526e-04	3.258
HMGA1	-0.076	-0.003	-2.177	3.045e-02	5.106e-02	1.292	-0.012	0.009	-0.464	6.434e-01	7.103e-01	0.149
HMGA2	0.238	-0.021	4.473	1.116e-05	4.496e-05	4.347	0.249	0.008	4.069	7.955e-05	3.117e-04	3.506
HMGB2	0.143	0.019	2.147	3.264e-02	5.400e-02	1.268	0.025	-0.095	1.765	7.983e-02	1.242e-01	0.906
HNF1A	0.146	-0.049	2.654	8.574e-03	1.704e-02	1.768	0.038	-0.074	1.324	1.879e-01	2.567e-01	0.591
HNF1B	-0.157	-0.218	0.644	5.200e-01	5.832e-01	0.234	-0.174	-0.109	-0.611	5.420e-01	6.179e-01	0.209
HNF4A	-0.044	-0.094	1.867	6.314e-02	9.704e-02	1.013	-0.130	-0.039	-2.426	1.683e-02	3.169e-02	1.499
HNF4G	-0.071	-0.158	1.043	2.981e-01	3.743e-01	0.427	0.085	-0.061	1.579	1.166e-01	1.716e-01	0.766
HOPX	-0.170	-0.131	-0.357	7.216e-01	7.720e-01	0.112	-0.065	-0.163	0.817	4.156e-01	4.972e-01	0.303
HOXA1	-0.539	-0.056	-3.844	1.746e-04	5.365e-04	3.270	-1.169	-0.143	-7.178	1.275e-10	2.855e-09	8.544
HOXA10	0.057	0.001	1.967	5.028e-02	7.882e-02	1.103	-0.159	-0.063	-2.354	2.032e-02	3.710e-02	1.431
HOXA11	0.210	-0.126	2.887	4.209e-03	9.006e-03	2.045	0.261	-0.288	2.856	5.175e-03	1.167e-02	1.933
HOXA5	0.339	0.181	2.736	6.637e-03	1.355e-02	1.868	0.042	-0.016	0.766	4.452e-01	5.266e-01	0.278
HOXA7	-0.267	-0.072	-2.822	5.172e-03	1.088e-02	1.963	0.165	0.041	1.483	1.405e-01	1.998e-01	0.699
HOXA9	0.125	0.033	1.990	4.773e-02	7.520e-02	1.124	0.093	-0.024	2.846	5.155e-03	1.167e-02	1.933
HOXB1	0.015	0.052	-0.232	8.164e-01	8.517e-01	0.070	-0.113	0.270	-1.841	6.796e-02	1.068e-01	0.971
HOXB13	0.015	0.052	-0.232	8.164e-01	8.517e-01	0.070	-0.113	0.270	-1.841	6.796e-02	1.068e-01	0.971
HOXB7	-0.399	-0.125	-4.463	1.320e-05	5.139e-05	4.289	-0.256	-0.078	-3.290	1.262e-03	3.366e-03	2.473
HOXC10	0.059	0.082	-0.671	5.030e-01	5.682e-01	0.245	0.080	0.079	0.015	9.881e-01	9.912e-01	0.004
HOXC13	-0.082	-0.082	-0.001	9.993e-01	9.993e-01	0.000	-0.388	-0.114	-3.645	3.600e-04	1.155e-03	2.937
HOXC6	-0.287	0.099	-2.349	1.976e-02	3.461e-02	1.461	-1.013	-0.087	-3.868	1.826e-04	6.361e-04	3.196
HOXC9	0.059	0.082	-0.671	5.030e-01	5.682e-01	0.245	0.080	0.079	0.015	9.881e-01	9.912e-01	0.004
HOXD9	-0.095	-0.043	-1.788	7.481e-02	1.137e-01	0.944	-0.109	-0.076	-0.970	3.336e-01	4.134e-01	0.384
HR	0.113	0.051	0.498	6.186e-01	6.781e-01	0.169	0.108	-0.199	2.115	3.603e-02	6.105e-02	1.214
HSF1	-0.465	-0.157	-6.228	1.948e-09	1.859e-08	7.731	-0.381	-0.050	-5.974	1.714e-08	1.762e-07	6.754
HSF2	0.013	-0.021	1.259	2.091e-01	2.784e-01	0.555	0.105	0.028	2.371	1.915e-02	3.552e-02	1.450
HSF4	-0.204	-0.058	-2.362	1.885e-02	3.358e-02	1.474	0.021	0.035	-0.186	8.527e-01	8.853e-01	0.053
HTATIP2	-0.889	-0.090	-6.117	3.783e-09	3.163e-08	7.500	-0.357	0.188	-3.039	2.855e-03	6.938e-03	2.159
ID1	0.369	0.087	3.153	1.819e-03	4.320e-03	2.365	-0.039	-0.026	-0.144	8.854e-01	9.116e-01	0.040
ID2	-0.386	-0.098	-4.314	2.354e-05	8.435e-05	4.074	-0.028	-0.042	0.203	8.397e-01	8.760e-01	0.057
ID3	0.183	0.087	1.738	8.332e-02	1.235e-01	0.908	0.169	0.103	1.156	2.499e-01	3.278e-01	0.484
ID4	1.415	0.300	9.438	1.210e-17	5.941e-16	15.226	1.496	0.288	9.720	2.601e-16	2.339e-14	13.631
IFI16	-0.136	-0.126	-0.106	9.154e-01	9.332e-01	0.030	0.753	-0.013	6.067	2.515e-08	2.503e-07	6.601
IKBKB	-0.028	0.060	-1.042	2.985e-01	3.743e-01	0.427	0.007	-0.005	0.140	8.889e-01	9.137e-01	0.039
IKZF1	-0.149	0.062	-1.728	8.523e-02	1.260e-01	0.900	-0.479	-0.044	-3.567	5.054e-04	1.518e-03	2.819
ILF2	-0.019	-0.013	-0.179	8.577e-01	8.889e-01	0.051	-0.104	-0.053	-1.451	1.489e-01	2.094e-01	0.679
ILF3	-0.442	-0.183	-3.118	2.061e-03	4.803e-03	2.318	-0.382	-0.101	-4.037	9.422e-05	3.624e-04	3.441
ING1	0.445	0.284	2.372	1.849e-02	3.303e-02	1.481	0.017	0.075	-0.967	3.353e-01	4.147e-01	0.382
ING2	0.244	-0.080	4.139	4.453e-05	1.525e-04	3.817	0.113	0.002	1.172	2.432e-01	3.222e-01	0.492
ING4	0.310	0.227	1.689	9.276e-02	1.346e-01	0.871	0.417	0.145	4.712	6.364e-06	3.298e-05	4.482
IRF1	0.335	0.085	7.392	2.883e-12	5.316e-11	10.274	0.437	0.083	6.916	3.530e-10	5.676e-09	8.246
IRF2	0.093	0.130	-0.621	5.350e-01	5.969e-01	0.224	-0.085	-0.031	-1.127	2.615e-01	3.380e-01	0.471
IRF3	0.293	0.065	3.899	1.216e-04	3.889e-04	3.410	0.174	-0.020	2.674	8.497e-03	1.776e-02	1.751
IRF4	-0.281	-0.064	-4.232	3.200e-05	1.133e-04	3.946	-0.314	-0.166	-2.590	1.063e-02	2.129e-02	1.672
IRF5	-0.037	0.003	-1.360	1.747e-01	2.392e-01	0.621	0.044	0.014	0.890	3.747e-01	4.544e-01	0.343
IRF7	0.267	0.048	4.501	1.088e-05	4.429e-05	4.354	0.048	-0.028	1.475	1.430e-01	2.022e-01	0.694
IRF8	0.196	-0.008	4.855	1.925e-06	9.075e-06	5.042	0.139	-0.003	2.845	5.072e-03	1.161e-02	1.935
IRF9	0.459	0.284	2.983	3.202e-03	7.129e-03	2.147	0.324	0.133	3.579	4.824e-04	1.483e-03	2.829
ISL1	1.351	-0.077	6.038	8.329e-09	6.217e-08	7.206	0.292	-0.085	2.119	3.533e-02	6.103e-02	1.214
JDP2	-2.144	-0.552	-8.319	8.893e-15	2.788e-13	12.555	-0.724	-0.162	-3.581	4.919e-04	1.496e-03	2.825
JUN	-0.065	-0.013	-2.558	1.126e-02	2.166e-02	1.664	-0.060	-0.034	-1.205	2.306e-01	3.063e-01	0.514
JUNB	-0.208	-0.019	-3.958	1.002e-04	3.256e-04	3.487	-0.457	-0.112	-4.502	1.609e-05	7.586e-05	4.120
JUND	-0.152	0.033	-4.385	2.201e-05	7.932e-05	4.101	-0.194	-0.037	-5.269	5.041e-07	3.292e-06	5.482
KAT2B	0.416	0.272	2.995	3.076e-03	6.912e-03	2.160	0.068	0.036	0.734	4.640e-01	5.438e-01	0.265
KAT5	0.302	0.122	3.412	7.464e-04	1.958e-03	2.708	0.400	0.164	3.840	1.879e-04	6.439e-04	3.191
KCNIP3	-0.057	0.031	-2.139	3.328e-02	5.491e-02	1.260	-0.182	-0.038	-2.861	4.882e-03	1.125e-02	1.949
KDM2A	0.996	0.549	2.029	4.366e-02	6.980e-02	1.156	2.027	0.974	3.781	2.407e-04	8.038e-04	3.095
KDM4B	0.311	0.177	1.318	1.890e-01	2.543e-01	0.595	0.332	0.105	2.119	3.571e-02	6.105e-02	1.214
KDM4C	0.334	-0.037	2.466	1.432e-02	2.673e-02	1.573	0.731	0.038	4.153	5.681e-05	2.284e-04	3.641
KHDRBS1	-0.102	-0.034	-0.777	4.378e-01	5.112e-01	0.291	0.237	-0.060	3.563	4.824e-04	1.483e-03	2.829
KLF10	0.715	0.265	6.117	4.708e-09	3.690e-08	7.433	0.137	-0.090	3.923	1.385e-04	5.049e-04	3.297
KLF11	-0.107	-0.090	-0.255	7.988e-01	8.432e-01	0.074	0.243	-0.022	3.296	1.249e-03	3.357e-03	2.474
KLF12	-0.285	-0.131	-2.371	1.836e-02	3.288e-02	1.483	-0.182	0.037	-2.436	1.621e-02	3.061e-02	1.514
KLF13	-0.146	0.042	-2.222	2.741e-02	4.683e-02	1.329	0.083	0.058	0.324	7.464e-01	8.027e-01	0.095
KLF14	0.872	0.270	2.812	5.305e-03	1.112e-02	1.954	0.979	0.108	3.396	9.194e-04	2.585e-03	2.588
KLF15	-0.112	-0.079	-0.858	3.919e-01	4.672e-01	0.331	-0.016	0.014	-0.644	5.211e-01	5.984e-01	0.223
KLF16	-1.661	-1.117	-2.449	1.515e-02	2.777e-02	1.556	-0.802	-0.242	-2.613	1.029e-02	2.068e-02	1.684
KLF2	0.755	0.230	6.931	3.396e-11	4.732e-10	9.325	0.636	0.121	6.416	3.246e-09	4.330e-08	7.363
KLF3	0.613	0.258	2.386	1.778e-02	3.203e-02	1.494	0.094	-0.361	2.855	4.966e-03	1.141e-02	1.943
KLF4	0.161	0.049	4.530	9.064e-06	3.789e-05	4.421	0.132	-0.006	5.630	1.023e-07	8.018e-07	6.096
KLF5	-0.433	-0.247	-2.836	4.942e-03	1.043e-02	1.982	-0.428	-0.161	-3.190	1.855e-03	4.846e-03	2.315
KLF6	0.585	0.226	6.226	2.860e-09	2.599e-08	7.585	0.441	0.049	7.547	4.871e-12	1.608e-10	9.794
KLF8	0.204	-0.113	3.359	9.139e-04	2.320e-03	2.635	-0.200	-0.096	-1.318	1.894e-01	2.582e-01	0.588
KLF9	-0.041	-0.150	1.204	2.302e-01	3.032e-01	0.518	-0.204	0.007	-2.503	1.349e-02	2.594e-02	1.586
L3MBTL1	-0.119	0.127	-6.042	4.512e-09	3.627e-08	7.441	-0.223	-0.096	-2.553	1.191e-02	2.356e-02	1.628
LDB1	0.183	0.087	1.738	8.332e-02	1.235e-01	0.908	0.169	0.103	1.156	2.499e-01	3.278e-01	0.484
LEF1	0.183	0.057	2.684	7.720e-03	1.546e-02	1.811	0.129	0.035	1.621	1.076e-01	1.610e-01	0.793
LHX2	-0.027	0.088	-2.526	1.208e-02	2.301e-02	1.638	0.085	-0.011	1.493	1.379e-01	1.978e-01	0.704
LHX3	0.157	0.133	0.495	6.208e-01	6.781e-01	0.169	0.219	0.026	3.404	8.523e-04	2.429e-03	2.615
LHX4	0.068	0.026	1.098	2.730e-01	3.479e-01	0.459	0.170	-0.037	3.671	3.612e-04	1.155e-03	2.937
LIMD1	0.017	0.182	-1.510	1.320e-01	1.852e-01	0.732	-0.371	0.070	-3.950	1.113e-04	4.156e-04	3.381
LMO2	-0.092	-0.021	-2.094	3.720e-02	6.058e-02	1.218	-0.256	0.032	-5.563	1.578e-07	1.178e-06	5.929
LMO3	0.088	0.079	0.194	8.466e-01	8.803e-01	0.055	-0.071	-0.065	-0.162	8.718e-01	9.015e-01	0.045
LMO4	0.305	0.072	8.908	2.521e-16	9.880e-15	14.005	0.217	0.032	6.194	1.015e-08	1.158e-07	6.936
LMX1B	-0.210	-0.038	-2.270	2.412e-02	4.166e-02	1.380	-0.127	-0.185	0.809	4.198e-01	5.014e-01	0.300
LRRFIP1	-0.041	-0.092	0.874	3.828e-01	4.589e-01	0.338	0.013	0.082	-1.061	2.905e-01	3.680e-01	0.434
LYL1	-0.090	-0.044	-0.750	4.538e-01	5.240e-01	0.281	0.070	-0.013	1.128	2.614e-01	3.380e-01	0.471
MAF	0.155	-0.075	3.172	1.677e-03	4.029e-03	2.395	0.147	-0.136	3.011	3.140e-03	7.543e-03	2.122
MAFA	-0.239	-0.229	-0.109	9.136e-01	9.332e-01	0.030	-0.355	-0.030	-3.081	2.502e-03	6.157e-03	2.211
MAML1	0.248	0.013	2.653	8.589e-03	1.704e-02	1.768	-0.004	0.124	-1.471	1.436e-01	2.023e-01	0.694
MAX	-1.007	-0.326	-3.033	2.728e-03	6.174e-03	2.209	-2.923	-0.621	-6.789	7.386e-10	1.103e-08	7.958
MAZ	0.012	-0.051	0.817	4.148e-01	4.917e-01	0.308	-0.066	-0.058	-0.113	9.103e-01	9.311e-01	0.031
MBD1	-0.127	-0.053	-1.347	1.791e-01	2.430e-01	0.614	0.096	0.052	0.691	4.911e-01	5.681e-01	0.246
MBD2	0.228	-0.053	2.471	1.414e-02	2.652e-02	1.576	-0.311	0.087	-3.522	5.890e-04	1.718e-03	2.765
MDM2	0.757	-0.225	5.636	4.232e-08	2.793e-07	6.554	0.450	-0.060	3.149	1.975e-03	5.138e-03	2.289
MECP2	0.421	0.109	3.832	1.622e-04	5.010e-04	3.300	0.248	-0.053	3.902	1.492e-04	5.345e-04	3.272
MED1	-0.726	-0.330	-5.294	3.316e-07	1.856e-06	5.731	-0.856	-0.206	-5.896	5.469e-08	4.899e-07	6.310
MED23	-0.107	-0.032	-1.592	1.123e-01	1.609e-01	0.793	0.152	-0.066	3.820	2.017e-04	6.798e-04	3.168
MEF2A	0.116	-0.028	2.916	3.873e-03	8.402e-03	2.076	0.159	0.008	2.939	3.871e-03	9.158e-03	2.038
MEF2C	-0.091	-0.031	-2.395	1.742e-02	3.147e-02	1.502	0.008	-0.015	0.863	3.899e-01	4.710e-01	0.327
MEF2D	1.535	0.339	7.289	6.475e-12	1.097e-10	9.960	0.546	0.111	3.940	1.267e-04	4.701e-04	3.328
MEIS1	-0.185	-0.097	-0.711	4.779e-01	5.448e-01	0.264	-0.456	0.002	-3.083	2.485e-03	6.157e-03	2.211
MEN1	-0.069	0.103	-3.271	1.257e-03	3.090e-03	2.510	-0.199	-0.115	-1.611	1.096e-01	1.636e-01	0.786
MITF	0.604	0.123	7.103	1.090e-11	1.708e-10	9.767	0.437	0.088	4.574	1.081e-05	5.294e-05	4.276
MKL1	0.270	-0.305	3.949	1.063e-04	3.434e-04	3.464	-0.467	-0.328	-1.140	2.562e-01	3.339e-01	0.476
MLLT10	-0.842	-0.499	-3.236	1.399e-03	3.427e-03	2.465	-0.367	-0.109	-2.621	9.962e-03	2.061e-02	1.686
MLLT3	-0.401	-0.320	-1.063	2.889e-01	3.645e-01	0.438	-0.068	-0.044	-0.274	7.846e-01	8.381e-01	0.077
MLXIPL	1.222	0.306	5.171	4.768e-07	2.533e-06	5.596	2.000	0.557	6.642	6.873e-10	1.051e-08	7.978
MSC	0.657	0.178	9.103	8.139e-17	3.402e-15	14.468	0.650	0.074	7.675	1.289e-11	3.850e-10	9.415
MSX1	0.743	-0.023	5.299	3.111e-07	1.773e-06	5.751	0.799	-0.165	5.303	4.916e-07	3.245e-06	5.489
MSX2	0.085	-0.041	2.184	2.994e-02	5.033e-02	1.298	0.139	0.011	2.372	1.906e-02	3.547e-02	1.450
MTA1	0.008	-0.064	2.775	5.959e-03	1.229e-02	1.910	-0.070	-0.062	-0.264	7.920e-01	8.431e-01	0.074
MTA2	-0.284	0.071	-4.733	3.455e-06	1.570e-05	4.804	-0.408	-0.079	-4.179	5.227e-05	2.213e-04	3.655
MTA3	0.337	0.090	3.743	2.281e-04	6.778e-04	3.169	-0.023	0.034	-0.828	4.089e-01	4.902e-01	0.310
MTF1	-0.139	0.070	-3.894	1.251e-04	3.982e-04	3.400	-0.460	-0.099	-4.266	4.022e-05	1.764e-04	3.754
MXD1	-0.168	-0.145	-0.858	3.917e-01	4.672e-01	0.331	-0.093	-0.044	-1.515	1.324e-01	1.912e-01	0.718
MXI1	-0.143	-0.295	0.906	3.661e-01	4.431e-01	0.353	2.226	0.387	5.905	6.966e-08	5.902e-07	6.229
MYB	-0.175	-0.075	-3.318	1.030e-03	2.603e-03	2.585	-0.310	-0.142	-4.112	7.182e-05	2.832e-04	3.548
MYBL2	0.094	0.287	-1.136	2.575e-01	3.323e-01	0.479	-2.277	-0.395	-6.017	4.289e-08	4.013e-07	6.396
MYC	-0.116	-0.010	-6.262	1.957e-09	1.859e-08	7.731	-0.248	-0.062	-6.989	2.760e-10	4.554e-09	8.342
MYCN	-0.572	-0.124	-10.203	1.329e-19	1.190e-17	16.924	-0.704	-0.140	-10.118	8.714e-17	1.618e-14	13.791
MYOCD	1.513	0.078	6.723	1.536e-10	1.817e-09	8.741	0.537	-0.154	2.842	5.127e-03	1.167e-02	1.933
MYOD1	-0.267	0.063	-2.696	7.689e-03	1.545e-02	1.811	-0.489	-0.047	-3.313	1.253e-03	3.357e-03	2.474
MYOG	-0.001	0.038	-0.977	3.297e-01	4.045e-01	0.393	-0.013	0.002	-0.334	7.393e-01	7.964e-01	0.099
MZF1	-0.394	-0.005	-5.227	3.634e-07	1.981e-06	5.703	-0.608	0.082	-5.470	2.259e-07	1.647e-06	5.783
NAB2	0.037	0.045	-0.098	9.218e-01	9.352e-01	0.029	0.520	0.342	1.729	8.628e-02	1.326e-01	0.877
NANOG	0.039	0.041	-0.040	9.678e-01	9.772e-01	0.010	0.031	0.032	-0.005	9.957e-01	9.971e-01	0.001
NCOA1	0.874	0.535	2.929	3.772e-03	8.212e-03	2.086	0.482	0.151	3.096	2.490e-03	6.157e-03	2.211
NCOA2	-0.361	-0.185	-1.692	9.213e-02	1.340e-01	0.873	-0.383	-0.113	-2.525	1.256e-02	2.424e-02	1.615
NCOA3	0.157	0.006	1.745	8.205e-02	1.226e-01	0.912	0.324	-0.035	4.781	4.008e-06	2.284e-05	4.641
NCOA4	0.396	0.161	3.072	2.384e-03	5.476e-03	2.262	0.394	0.061	3.047	2.803e-03	6.838e-03	2.165
NCOA6	0.293	-0.028	3.720	2.508e-04	7.418e-04	3.130	-0.169	-0.111	-0.441	6.601e-01	7.236e-01	0.141
NCOR1	0.281	0.169	1.594	1.124e-01	1.609e-01	0.793	0.112	0.263	-1.848	6.678e-02	1.063e-01	0.974
NCOR2	0.311	0.177	1.318	1.890e-01	2.543e-01	0.595	0.332	0.105	2.119	3.571e-02	6.105e-02	1.214
NELFB	-0.181	-0.676	2.104	3.604e-02	5.900e-02	1.229	0.417	-0.120	1.763	8.012e-02	1.243e-01	0.905
NELFCD	0.862	0.425	3.473	6.450e-04	1.743e-03	2.759	0.589	0.072	5.023	1.631e-06	9.926e-06	5.003
NF1	0.409	0.160	3.182	1.692e-03	4.035e-03	2.394	-0.469	0.018	-4.860	4.074e-06	2.301e-05	4.638
NFAT5	-0.241	-0.253	0.053	9.581e-01	9.689e-01	0.014	-0.231	0.065	-1.489	1.388e-01	1.985e-01	0.702
NFATC1	0.060	-0.006	2.302	2.226e-02	3.865e-02	1.413	0.060	0.017	1.305	1.938e-01	2.625e-01	0.581
NFATC2	0.243	0.122	3.031	2.716e-03	6.170e-03	2.210	0.099	0.063	0.905	3.666e-01	4.472e-01	0.350
NFATC3	0.544	0.528	0.107	9.147e-01	9.332e-01	0.030	0.233	0.206	0.148	8.825e-01	9.101e-01	0.041
NFE2L1	0.237	0.341	-0.548	5.844e-01	6.474e-01	0.189	0.279	0.009	1.212	2.279e-01	3.034e-01	0.518
NFE2L2	-0.084	-0.019	-2.967	3.335e-03	7.345e-03	2.134	-0.039	0.005	-1.807	7.325e-02	1.145e-01	0.941
NFIA	-1.661	-1.117	-2.449	1.515e-02	2.777e-02	1.556	-0.802	-0.242	-2.613	1.029e-02	2.068e-02	1.684
NFIB	0.773	0.550	1.784	7.597e-02	1.151e-01	0.939	0.308	0.138	1.554	1.227e-01	1.798e-01	0.745
NFIC	0.033	-0.077	3.365	8.680e-04	2.221e-03	2.653	0.144	-0.030	4.728	5.153e-06	2.762e-05	4.559
NFIL3	-0.767	-0.112	-4.546	8.827e-06	3.715e-05	4.430	-1.304	-0.334	-5.891	3.822e-08	3.631e-07	6.440
NFIX	-0.222	-0.421	1.218	2.245e-01	2.964e-01	0.528	-0.191	-0.087	-0.605	5.464e-01	6.217e-01	0.206
NFKB1	-0.045	-0.019	-2.028	4.375e-02	6.980e-02	1.156	-0.051	-0.037	-1.033	3.035e-01	3.813e-01	0.419
NFKB2	-0.108	-0.018	-1.723	8.586e-02	1.267e-01	0.897	-0.209	-0.058	-2.725	7.192e-03	1.529e-02	1.816
NFKBIA	-0.107	-0.018	-2.589	1.015e-02	1.989e-02	1.701	-0.107	0.032	-3.833	1.872e-04	6.439e-04	3.191
NFKBIB	-0.214	-0.080	-2.626	9.117e-03	1.798e-02	1.745	0.264	0.165	1.538	1.265e-01	1.837e-01	0.736
NFRKB	1.064	0.190	5.300	3.304e-07	1.856e-06	5.731	0.686	0.152	4.489	1.663e-05	7.781e-05	4.109
NFYA	0.151	0.077	1.746	8.212e-02	1.226e-01	0.912	0.186	0.061	2.377	1.921e-02	3.553e-02	1.449
NFYB	0.109	0.026	1.740	8.295e-02	1.235e-01	0.908	0.019	-0.070	1.516	1.322e-01	1.912e-01	0.718
NFYC	0.209	0.088	2.056	4.071e-02	6.596e-02	1.181	0.042	-0.045	1.382	1.695e-01	2.346e-01	0.630
NHLH2	0.250	0.077	3.502	5.411e-04	1.508e-03	2.822	0.282	0.052	4.167	5.729e-05	2.288e-04	3.641
NKX2-1	0.030	-0.027	0.924	3.565e-01	4.348e-01	0.362	0.081	0.076	0.071	9.436e-01	9.589e-01	0.018
NKX2-2	-0.229	-0.059	-3.578	4.082e-04	1.169e-03	2.932	0.032	-0.040	1.309	1.928e-01	2.622e-01	0.581
NKX2-5	-0.645	0.050	-7.066	2.496e-11	3.557e-10	9.449	-0.338	-0.021	-3.711	2.792e-04	9.165e-04	3.038
NKX3-1	0.339	0.025	3.797	1.987e-04	6.017e-04	3.221	0.240	-0.050	3.354	1.046e-03	2.901e-03	2.537
NOTCH3	-0.252	0.120	-2.697	7.426e-03	1.497e-02	1.825	-0.579	-0.017	-3.560	5.179e-04	1.532e-03	2.815
NPM1	0.030	0.179	-2.749	6.441e-03	1.324e-02	1.878	0.163	0.020	2.705	7.827e-03	1.658e-02	1.780
NR0B1	-0.097	0.070	-3.632	3.342e-04	9.746e-04	3.011	-0.033	0.105	-2.536	1.245e-02	2.424e-02	1.615
NR0B2	-0.122	-0.112	-0.129	8.974e-01	9.194e-01	0.037	-0.379	-0.225	-1.481	1.412e-01	2.003e-01	0.698
NR1D1	0.215	0.033	2.013	4.519e-02	7.155e-02	1.145	0.134	-0.011	1.581	1.164e-01	1.716e-01	0.766
NR1H2	0.254	0.039	3.500	5.561e-04	1.543e-03	2.812	0.390	0.069	4.473	1.684e-05	7.820e-05	4.107
NR1H3	0.253	0.021	3.884	1.303e-04	4.125e-04	3.385	0.296	0.045	3.663	3.513e-04	1.135e-03	2.945
NR1H4	-0.013	-0.071	2.015	4.482e-02	7.115e-02	1.148	-0.140	-0.082	-1.256	2.117e-01	2.837e-01	0.547
NR1I2	-0.307	-0.086	-5.211	5.123e-07	2.699e-06	5.569	-0.179	-0.017	-4.087	8.026e-05	3.126e-04	3.505
NR1I3	0.137	-0.040	3.600	3.730e-04	1.073e-03	2.969	0.362	0.202	2.260	2.557e-02	4.555e-02	1.342
NR2C2	0.104	0.070	0.744	4.574e-01	5.262e-01	0.279	-0.021	0.031	-0.835	4.056e-01	4.881e-01	0.311
NR2E3	-0.048	-0.031	-0.719	4.731e-01	5.413e-01	0.267	-0.118	-0.038	-2.825	5.516e-03	1.226e-02	1.911
NR2F1	-0.072	0.148	-4.503	9.781e-06	4.035e-05	4.394	0.089	0.067	0.358	7.212e-01	7.837e-01	0.106
NR2F2	0.894	0.095	7.099	9.334e-12	1.501e-10	9.824	0.470	-0.071	3.584	4.630e-04	1.437e-03	2.842
NR2F6	-0.153	-0.078	-1.618	1.070e-01	1.538e-01	0.813	-0.030	-0.038	0.138	8.907e-01	9.137e-01	0.039
NR3C1	0.153	0.098	2.093	3.732e-02	6.061e-02	1.217	0.103	0.026	2.174	3.175e-02	5.517e-02	1.258
NR3C2	-0.078	-0.078	0.007	9.943e-01	9.975e-01	0.001	0.030	-0.064	1.758	8.133e-02	1.259e-01	0.900
NR4A1	0.464	0.027	8.298	7.011e-15	2.313e-13	12.636	0.331	-0.049	6.094	1.117e-08	1.250e-07	6.903
NR4A2	-0.263	0.084	-1.392	1.654e-01	2.274e-01	0.643	-0.387	0.115	-2.170	3.177e-02	5.517e-02	1.258
NR4A3	1.329	0.157	6.586	4.490e-10	4.939e-09	8.306	0.845	0.291	3.042	3.010e-03	7.258e-03	2.139
NR5A1	0.080	0.021	1.790	7.487e-02	1.137e-01	0.944	0.092	-0.001	2.486	1.423e-02	2.728e-02	1.564
NR5A2	0.245	-0.122	6.119	3.551e-09	3.050e-08	7.516	-0.052	-0.177	1.732	8.579e-02	1.322e-01	0.879
NRF1	-0.118	0.081	-3.863	1.431e-04	4.490e-04	3.348	-0.020	0.086	-2.072	4.019e-02	6.720e-02	1.173
NRIP1	-0.600	-0.084	-4.940	1.522e-06	7.396e-06	5.131	-0.884	-0.150	-5.080	1.532e-06	9.418e-06	5.026
NRL	0.049	-0.003	2.903	4.029e-03	8.682e-03	2.061	0.075	0.005	3.348	1.041e-03	2.901e-03	2.537
NUPR1	0.570	0.360	2.261	2.472e-02	4.259e-02	1.371	0.338	0.059	3.130	2.164e-03	5.493e-03	2.260
ONECUT1	-0.252	-0.227	-0.386	7.001e-01	7.555e-01	0.122	0.147	-0.003	2.119	3.578e-02	6.105e-02	1.214
ONECUT2	0.641	0.241	3.303	1.080e-03	2.720e-03	2.565	0.230	0.172	0.445	6.566e-01	7.210e-01	0.142
OTX1	0.498	0.115	6.241	2.202e-09	2.061e-08	7.686	0.438	0.202	3.308	1.229e-03	3.336e-03	2.477
OTX2	0.076	0.067	0.248	8.046e-01	8.450e-01	0.073	0.068	0.099	-0.867	3.872e-01	4.687e-01	0.329
PA2G4	0.091	-0.003	1.349	1.784e-01	2.427e-01	0.615	0.147	0.087	0.382	7.033e-01	7.669e-01	0.115
PARP1	-0.253	-0.045	-6.276	1.387e-09	1.380e-08	7.860	0.014	0.012	0.063	9.495e-01	9.603e-01	0.018
PAWR	0.601	0.031	7.532	1.231e-12	2.412e-11	10.618	0.298	0.058	2.742	6.953e-03	1.488e-02	1.827
PAX2	-0.450	-0.009	-3.491	5.793e-04	1.586e-03	2.800	0.667	0.028	4.559	1.365e-05	6.484e-05	4.188
PAX3	0.004	-0.018	0.313	7.547e-01	8.007e-01	0.097	0.072	0.029	0.699	4.860e-01	5.633e-01	0.249
PAX4	-0.110	0.149	-2.870	4.403e-03	9.358e-03	2.029	-0.542	0.066	-4.645	8.253e-06	4.158e-05	4.381
PAX5	0.197	0.100	3.225	1.425e-03	3.477e-03	2.459	0.034	-0.007	1.307	1.935e-01	2.625e-01	0.581
PAX6	-0.026	-0.045	0.323	7.470e-01	7.938e-01	0.100	-0.071	-0.058	-0.226	8.212e-01	8.581e-01	0.066
PAX8	-0.158	-0.077	-1.773	7.755e-02	1.163e-01	0.934	0.043	-0.005	1.125	2.626e-01	3.385e-01	0.470
PBX1	-0.354	-0.067	-5.337	2.291e-07	1.330e-06	5.876	-0.220	-0.072	-2.410	1.744e-02	3.264e-02	1.486
PBX2	-0.026	-0.111	0.757	4.499e-01	5.224e-01	0.282	-0.026	0.098	-0.903	3.681e-01	4.481e-01	0.349
