	TFAs Ave.(E)	TFAs Ave.(NE)	TTS	p_val	FDR_A375	negLog10_FDR	TFAs Ave.(E)	TFAs Ave.(NE)	TTS	p_val	FDR_HT29	negLog10_FDR
CEBPD	-0.455	-0.153	-5.539	8.637e-08	5.415e-07	6.266	-0.140	-0.070	-1.269	2.065e-01	2.772e-01	0.557
CEBPE	-0.035	0.026	-0.785	4.334e-01	5.070e-01	0.295	0.452	0.192	2.368	1.980e-02	3.630e-02	1.440
CEBPG	0.157	0.009	1.012	3.124e-01	3.887e-01	0.410	0.399	0.246	1.134	2.583e-01	3.361e-01	0.474
CEBPZ	-0.517	0.105	-7.067	1.557e-11	2.325e-10	9.634	-0.251	0.083	-3.104	2.339e-03	5.889e-03	2.230
CHD4	0.342	0.341	0.008	9.937e-01	9.975e-01	0.001	0.317	0.121	1.278	2.034e-01	2.737e-01	0.563
CHD8	-1.920	-0.675	-7.479	1.815e-12	3.448e-11	10.462	-1.384	-0.452	-4.832	3.483e-06	2.003e-05	4.698
CIITA	0.121	0.084	0.753	4.525e-01	5.237e-01	0.281	0.246	0.176	1.331	1.855e-01	2.545e-01	0.594
CITED2	-0.308	0.122	-2.651	8.522e-03	1.702e-02	1.769	-0.327	0.057	-2.247	2.624e-02	4.660e-02	1.332
CLOCK	0.044	0.003	1.041	2.991e-01	3.743e-01	0.427	-0.002	-0.034	0.640	5.230e-01	5.995e-01	0.222
COPS5	-0.064	-0.348	2.209	2.817e-02	4.799e-02	1.319	0.112	-0.206	2.036	4.395e-02	7.252e-02	1.140
CRABP2	0.067	0.008	1.164	2.454e-01	3.180e-01	0.498	-0.078	0.023	-1.592	1.139e-01	1.685e-01	0.773
CREB1	-0.159	-0.012	-6.048	7.995e-09	6.040e-08	7.219	-0.217	-0.036	-7.082	1.248e-10	2.855e-09	8.544
CREB3	0.091	-0.045	0.500	6.176e-01	6.781e-01	0.169	0.124	0.020	0.480	6.321e-01	7.002e-01	0.155
CREB3L1	-0.241	-0.191	-0.339	7.350e-01	7.824e-01	0.107	0.260	-0.104	2.285	2.364e-02	4.240e-02	1.373
CREB5	0.119	0.073	1.359	1.753e-01	2.394e-01	0.621	0.234	0.077	3.572	4.939e-04	1.496e-03	2.825
CREBBP	0.199	0.110	2.195	2.923e-02	4.927e-02	1.307	0.150	0.032	2.657	8.984e-03	1.871e-02	1.728
CREG1	-0.001	0.125	-2.539	1.164e-02	2.232e-02	1.651	-0.023	0.022	-0.700	4.851e-01	5.633e-01	0.249
CREM	0.103	-0.063	4.783	3.374e-06	1.555e-05	4.808	0.210	0.027	3.868	1.933e-04	6.586e-04	3.181
CRTC1	0.371	0.096	2.577	1.057e-02	2.058e-02	1.686	0.357	0.223	1.159	2.482e-01	3.277e-01	0.485
