SM_LINCS_ID	SM_Center_Canonical_ID
LSM-1341	BRD-A15931911
LSM-1342	BRD-A16311756
LSM-1343	BRD-A16332958
LSM-1344	BRD-A16665823
LSM-1345	BRD-A16694057
LSM-1346	BRD-A16700644
LSM-1347	BRD-A16820783
LSM-1349	BRD-A17065207
LSM-1350	BRD-A17411484
LSM-1351	BRD-A17428743
LSM-1352	BRD-A17453586
LSM-1353	BRD-A17535965
LSM-1354	BRD-A17655518
LSM-1355	BRD-A17664363
LSM-1356	BRD-A17718497
LSM-1357	BRD-A17757596
LSM-1358	BRD-A17819071
LSM-1359	BRD-A18043272
LSM-1360	BRD-A18202423
LSM-1360	BRD-A05729358
LSM-1361	BRD-A18279961
LSM-1362	BRD-A18411371
LSM-1363	BRD-A18419789
LSM-1364	BRD-A18579359
LSM-1365	BRD-A18620900
LSM-1366	BRD-A18725729
LSM-1367	BRD-A18917088
LSM-1368	BRD-A18932057
LSM-1370	BRD-A19053259
LSM-1371	BRD-A19195498
LSM-1372	BRD-A19374631
LSM-1374	BRD-A19661776
LSM-1375	CGC00002296
LSM-1375	BRD-A19736161
LSM-1376	BRD-A19918940
LSM-1377	BRD-A19928752
LSM-1378	BRD-A20126139
LSM-1379	BRD-A20243730
LSM-1380	BRD-A20527803
LSM-1381	BRD-A20846977
LSM-1382	BRD-A20968261
LSM-1383	BRD-A21406558
LSM-1384	BRD-A21481508
LSM-1385	BRD-A21723284
LSM-1386	BRD-A21812217
LSM-1387	BRD-A21858158
LSM-1388	BRD-A22032524
LSM-1389	BRD-A22143024
LSM-1390	BRD-A22380646
LSM-1391	BRD-A22684332
LSM-1392	BRD-A22707317
LSM-1393	BRD-A22713669
LSM-1394	BRD-A22769835
LSM-1395	BRD-A22783572
LSM-1396	BRD-A22844106
LSM-1397	BRD-A23072235
LSM-1398	BRD-A23226398
LSM-1399	BRD-A23683907
LSM-1400	BRD-A23723433
LSM-1401	BRD-A24021119
LSM-1402	BRD-A24122750
LSM-1403	BRD-A24225650
LSM-1404	BRD-A24429032
LSM-1405	BRD-A24514565
LSM-1406	BRD-A24817035
LSM-1407	BRD-A25143711
LSM-1408	BRD-A25170757
LSM-1409	BRD-A25234499
LSM-1410	BRD-A25687296
LSM-1411	BRD-A25775766
LSM-1412	BRD-A25829966
LSM-1413	BRD-A26032986
LSM-1414	BRD-A26095496
LSM-1415	BRD-A26097136
LSM-1416	BRD-A26334849
LSM-1417	BRD-A26384407
LSM-1418	BRD-A26711594
LSM-1418	CGC00003468
LSM-1419	BRD-A26777759
LSM-1420	BRD-A26787626
LSM-1421	BRD-A26845397
LSM-1422	BRD-A26962727
LSM-1423	BRD-A27143604
LSM-1424	BRD-A27554692
LSM-1425	BRD-A27887842
LSM-1426	BRD-A28318179
LSM-1427	BRD-A28412351
LSM-1428	BRD-A28422058
LSM-1429	BRD-A28422330
LSM-1430	BRD-A28856712
LSM-1431	BRD-A28970875
LSM-1432	BRD-A29082194
LSM-1433	BRD-A29289453
LSM-1434	BRD-A29322418
LSM-1435	BRD-A29426959
LSM-1436	BRD-A29437505
LSM-1437	BRD-A29485665
LSM-1438	BRD-A29721261
LSM-1439	BRD-A29734509
LSM-1439	CGC00000392
LSM-1440	BRD-A30205217
LSM-1441	BRD-A30435184
LSM-1442	BRD-A30437061
LSM-1443	BRD-A30590053
LSM-1444	BRD-A30612536
LSM-1445	BRD-A30655177
LSM-1446	BRD-A30717181
LSM-1447	BRD-A30815329
LSM-1448	BRD-A31007383
LSM-1449	CGC00000787
LSM-1449	BRD-A31159102
LSM-1450	BRD-A31195449
LSM-1451	BRD-A31204924
LSM-1452	BRD-A31227688
LSM-1453	BRD-A31521121
LSM-1454	BRD-A31575449
LSM-1455	BRD-A31801025
LSM-1456	BRD-A31946439
LSM-1457	BRD-A32164164
LSM-1458	BRD-A32349859
LSM-1459	BRD-A32449311
LSM-1460	BRD-A07407288
LSM-1460	BRD-A32595718
LSM-1461	BRD-A32836748
LSM-1462	BRD-A32917072
LSM-1463	BRD-A32949107
LSM-1464	BRD-A33084410
LSM-1465	BRD-A33168282
LSM-1466	BRD-A33447119
LSM-1467	BRD-A33711280
LSM-1468	BRD-A33833419
LSM-1469	BRD-A34205397
LSM-1470	BRD-A34208323
LSM-1471	BRD-A34255068
LSM-1471	PCCSE_Rolipram
LSM-1472	BRD-A34299591
LSM-1473	BRD-A34421300
LSM-1474	BRD-A34706053
LSM-1475	BRD-A34751532
LSM-1476	BRD-A34806832
LSM-1477	BRD-A34907681
LSM-1478	BRD-A35020550
LSM-1479	BRD-A35033682
LSM-1480	BRD-A35141262
LSM-1481	BRD-A35338386
LSM-1482	BRD-A35511923
LSM-1483	BRD-A35588707
LSM-1484	BRD-A35623999
LSM-1485	BRD-A35912562
LSM-1486	BRD-A35989968
LSM-1487	BRD-A36010170
LSM-1488	BRD-A36066264
LSM-1489	BRD-A36074203
LSM-1490	BRD-A36151937
LSM-1491	BRD-A36217750
LSM-1492	BRD-A36267905
LSM-1493	BRD-A36275421
LSM-1494	BRD-A36318220
LSM-1495	BRD-A36471396
LSM-1496	BRD-A37347161
LSM-1497	BRD-A37432947
LSM-1498	BRD-A37492983
LSM-1499	BRD-A37541666
LSM-1500	BRD-A37656721
LSM-1501	BRD-A37735495
LSM-1502	BRD-A37776212
LSM-1503	BRD-A37780065
LSM-1504	BRD-A37817666
LSM-1505	BRD-A37867643
LSM-1506	BRD-A37959677
LSM-1508	BRD-A38425832
LSM-1509	BRD-A38747044
LSM-1510	BRD-A38749782
LSM-1511	BRD-A38793261
LSM-1514	BRD-A38936397
LSM-1515	BRD-A39093044
LSM-1516	BRD-A39230911
LSM-1517	BRD-A39255369
LSM-1518	BRD-A39268308
LSM-1519	BRD-A39290993
LSM-1520	BRD-A39415247
LSM-1521	BRD-A39522003
LSM-1522	BRD-A39599596
LSM-1523	BRD-A39747742
LSM-1524	BRD-A39969961
LSM-1525	BRD-A40560522
LSM-1526	BRD-A40639672
LSM-1527	BRD-A41112154
LSM-1529	BRD-A41250306
LSM-1531	BRD-A41304429
LSM-1532	BRD-A41451487
LSM-1533	BRD-A41519720
LSM-1534	BRD-A41555725
LSM-1535	BRD-A41630653
LSM-1536	BRD-A41722204
LSM-1537	BRD-A41833852
LSM-1538	BRD-A41941932
LSM-1539	BRD-A41995253
LSM-1540	BRD-A42031983
LSM-1541	BRD-A42167015
LSM-1542	BRD-A42346008
LSM-1543	BRD-A42553870
LSM-1544	BRD-A42571354
LSM-1545	CGC00000773
LSM-1545	BRD-A42628519
LSM-1546	BRD-A42649439
LSM-1547	BRD-A42737819
LSM-1548	BRD-A42759514
LSM-1549	BRD-A42831637
LSM-1550	BRD-A42969626
LSM-1551	BRD-A43126523
LSM-1552	BRD-A43150328
LSM-1553	BRD-A43640821
LSM-1554	BRD-A43671941
LSM-1555	BRD-A43805296
LSM-1556	BRD-A43849199
LSM-1557	BRD-A58207013
LSM-1557	BRD-A43882281
LSM-1557	BRD-A20549626
LSM-1557	BRD-A22897758
LSM-1558	BRD-A43885598
LSM-1559	BRD-A43930669
LSM-1560	BRD-A43940795
LSM-1561	BRD-A43974499
LSM-1562	BRD-A43974575
LSM-1563	BRD-A44008656
LSM-1564	BRD-A44090213
LSM-1565	BRD-A44133049
LSM-1566	BRD-A44448661
LSM-1567	BRD-A44551378
LSM-1568	BRD-A44701612
LSM-1569	BRD-A44780397
LSM-1570	BRD-A44862234
