SM_LINCS_ID	SM_Center_Canonical_ID
LSM-1137	BRD-A13021932
LSM-1139	10138
LSM-1139	BRD-K53972329
LSM-1139	PCCSE_ruxolitinib
LSM-1139	RUX
LSM-1140	10139
LSM-1140	BRD-A29009894
LSM-1141	BRD-K87737963
LSM-1141	PCCSE_momelotinib
LSM-1141	10140
LSM-1142	PCCSE_TG101348
LSM-1142	10141
LSM-1142	BRD-K12502280
LSM-1143	TRA
LSM-1143	BRD-K12343256
LSM-1143	10142
LSM-1144	BRD-K40738845
LSM-1144	10143
LSM-1145	10144
LSM-1145	PCCSE_Olaparib
LSM-1145	BRD-K02113016
LSM-1146	10145
LSM-1146	BRD-K87142802
LSM-1147	BRD-K42918627
LSM-1147	10146
LSM-1148	10147
LSM-1148	BRD-K42191735
LSM-1149	10148
LSM-1149	BRD-K04801023
LSM-1150	10149
LSM-1150	BRD-K56751279
LSM-1151	10150
LSM-1151	BRD-K44227013
LSM-1151	PON
LSM-1152	10151
LSM-1153	10152
LSM-1153	BRD-K54256913
LSM-1154	BRD-K49468759
LSM-1154	10153
LSM-1155	BRD-K12040459
LSM-1155	10154
LSM-1156	10155
LSM-1156	BRD-A90451247
LSM-1157	10156
LSM-1157	BRD-K02123250
LSM-1158	BRD-K03449891
LSM-1158	10157
LSM-1159	BRD-K72414522
LSM-1159	10158
LSM-1160	10159
LSM-1161	BRD-K59184148
LSM-1161	10160
LSM-1162	BRD-K41859756
LSM-1162	10161
LSM-1162	BRD-K65182930
LSM-1163	10162
LSM-1163	BRD-K01567962
LSM-1163	PCCSE_SP600125
LSM-1164	10163
LSM-1165	10164
LSM-1165	BRD-K37687095
LSM-1166	BRD-K73319509
LSM-1166	10165
LSM-1167	BRD-K53281329
LSM-1167	10166
LSM-1168	10167
LSM-1168	BRD-A37704979
LSM-1169	BRD-K91900765
LSM-1169	10168
LSM-1170	BRD-K74065929
LSM-1170	10169
LSM-1171	BRD-K60219430
LSM-1171	10170
LSM-1172	10171
LSM-1172	BRD-A41692738
LSM-1173	10172
LSM-1174	10173
LSM-1174	BRD-K75308783
LSM-1175	10174
LSM-1175	BRD-K41918892
LSM-1177	10176
LSM-1177	BRD-A58280226
LSM-1178	10177
LSM-1178	BRD-A21584801
LSM-1179	BRD-K25340465
LSM-1179	10178
LSM-1180	10179
LSM-1180	BRD-K56301217
LSM-1181	10180
LSM-1181	PCCSE_CHIR99021
LSM-1181	BRD-K16189898
LSM-1183	10182
LSM-1183	BRD-K99749624
LSM-1184	BRD-K42728290
LSM-1184	10183
LSM-1186	10185
LSM-1186	PCCSE_CC-401
LSM-1186	BRD-K45746021
LSM-1187	10186
LSM-1187	BRD-K87904882
LSM-1188	10187
LSM-1188	BRD-A45540146
LSM-1189	10188
LSM-1189	BRD-K47983010
LSM-1190	BOS
LSM-1190	10189
LSM-1190	BRD-K99964838
LSM-1191	BRD-K29395450
LSM-1191	10190
LSM-1192	10191
LSM-1194	BRD-A92800748
LSM-1194	10193
LSM-1195	BRD-K51544265
LSM-1195	CAB
LSM-1195	10194
LSM-1196	10195
LSM-1196	BRD-K78790801
LSM-1197	BRD-K24050847
LSM-1197	10196
LSM-1198	BRD-K79018442
LSM-1198	10197
LSM-1199	VAN
LSM-1199	BRD-K77625799
LSM-1199	10198
LSM-1200	10199
LSM-1200	BRD-K79239947
LSM-1201	10200
LSM-1201	BRD-K79259477
LSM-1202	10201
LSM-1202	BRD-K11267252
LSM-1203	BRD-K09132007
LSM-1203	10202
LSM-1204	BRD-K49055432
LSM-1204	10203
LSM-1205	BRD-K60866521
LSM-1205	10204
LSM-1206	10205
LSM-1206	BRD-K59317601
LSM-1207	10206
LSM-1207	BRD-K93123848
LSM-1208	BRD-K21025364
LSM-1208	10207
LSM-1209	10208
LSM-1209	BRD-K76401790
LSM-1210	BRD-K34581968
LSM-1210	10209
LSM-1211	10210
LSM-1212	10211
LSM-1213	10212
LSM-1214	10213
LSM-1215	10214
LSM-1216	10215
LSM-1216	BRD-K51781482
LSM-1218	10217
LSM-1219	10218
LSM-1220	BRD-K46419649
LSM-1221	10220
LSM-1222	BRD-K70642949
LSM-1222	10221
LSM-1224	10223
LSM-1224	BRD-K68336408
LSM-1224	CGC00003433
LSM-1225	10224
LSM-1225	BRD-K26838195
LSM-1226	10225
LSM-1226	BRD-K16730910
LSM-1226	REG
LSM-1227	BRD-K31283835
LSM-1227	10226
LSM-1227	TOF
LSM-1227	PCCSE_Tofacitinib
LSM-1228	BRD-K42452249
LSM-1228	10227
LSM-1230	10229
LSM-1231	BRD-K23192422
LSM-1231	10230
LSM-1232	BRD-A00100033
LSM-1233	BRD-A00267231
LSM-1234	BRD-A00474148
LSM-1235	BRD-A00546892
LSM-1236	BRD-A00626522
LSM-1237	BRD-A00758722
LSM-1238	BRD-A00993607
LSM-1239	BRD-A59391763
LSM-1240	BRD-A01320529
LSM-1241	BRD-A01346607
LSM-1242	BRD-A01593789
LSM-1243	BRD-A01643550
LSM-1244	BRD-A01973626
LSM-1245	BRD-A01999384
LSM-1246	BRD-A02006392
LSM-1247	BRD-A02176148
LSM-1248	BRD-A02180903
LSM-1249	BRD-A02189320
LSM-1250	BRD-A02241946
LSM-1251	BRD-A02367930
LSM-1252	BRD-A02710418
LSM-1253	BRD-A02713983
LSM-1254	BRD-A02747686
LSM-1255	BRD-A02759312
LSM-1256	BRD-A02809788
LSM-1257	BRD-A03359064
LSM-1258	BRD-A03436432
LSM-1259	BRD-A03623303
LSM-1259	BRD-M45038741
LSM-1260	BRD-A03816571
LSM-1261	BRD-A04026261
LSM-1262	BRD-A04392722
LSM-1263	BRD-A04553218
LSM-1264	BRD-A04668240
LSM-1265	BRD-A04706586
LSM-1267	BRD-A05186015
LSM-1268	BRD-A05352148
LSM-1269	BRD-A05565054
LSM-1270	BRD-A05680309
LSM-1271	BRD-A05831822
LSM-1272	BRD-A06276885
LSM-1273	BRD-A06352418
LSM-1273	CGC00000760
LSM-1274	BRD-A06352508
LSM-1275	BRD-A06390036
LSM-1276	BRD-A06641369
LSM-1277	BRD-A06664848
LSM-1278	BRD-A06726973
LSM-1279	BRD-A06784547
LSM-1280	BRD-A07000685
LSM-1281	BRD-A07029265
LSM-1282	BRD-A07440155
LSM-1283	BRD-A07824748
LSM-1284	BRD-A07875874
LSM-1285	BRD-A08003242
LSM-1286	BRD-A08187463
LSM-1287	BRD-A08610364
LSM-1288	BRD-A08662020
LSM-1289	BRD-A08709697
LSM-1290	BRD-A08877921
LSM-1291	BRD-A09056319
LSM-1292	BRD-A09062839
LSM-1293	BRD-A09094913
LSM-1294	BRD-A09161221
LSM-1295	BRD-A09349126
LSM-1296	BRD-A09467419
LSM-1297	FLE
LSM-1297	BRD-A09472452
LSM-1298	BRD-A09533288
LSM-1299	BRD-A09539288
LSM-1300	BRD-A09719808
LSM-1301	BRD-A09828896
LSM-1302	BRD-A09925278
LSM-1303	BRD-A10188456
LSM-1304	BRD-A10303790
LSM-1305	BRD-A10355991
LSM-1306	BRD-A10420615
LSM-1307	BRD-A10715913
LSM-1308	BRD-A10903566
LSM-1309	BRD-A10969569
LSM-1310	BRD-A10977446
LSM-1311	BRD-A11087911
LSM-1312	BRD-A11095214
LSM-1313	BRD-A11135865
LSM-1314	BRD-A11483079
LSM-1315	BRD-A11512624
LSM-1316	BRD-A11605036
LSM-1317	BRD-A11609859
LSM-1318	BRD-A11678676
LSM-1319	BRD-A11813248
LSM-1320	BRD-A11929187
LSM-1321	BRD-A11968133
LSM-1322	BRD-A12016240
LSM-1323	BRD-A12083771
LSM-1324	BRD-A12633378
LSM-1325	BRD-A13133631
LSM-1326	BRD-A13346522
LSM-1327	BRD-A13650332
LSM-1328	BRD-A13964793
LSM-1329	BRD-A14395271
LSM-1330	BRD-A14566392
LSM-1331	BRD-A14574269
LSM-1332	BRD-A14798026
LSM-1333	BRD-A14966924
LSM-1334	BRD-A15034104
LSM-1335	BRD-A15070535
LSM-1336	BRD-A15131297
LSM-1337	BRD-A15297126
LSM-1338	BRD-A15415227
LSM-1339	BRD-A15435692
LSM-1340	BRD-A15530910
